svofps_id,wavelength [Hz],wavelength [Angstrom],color,reference_flux,sncosmo_name,sncosmo_aliases,legacy_aliases,label,effective_width [Hz]
Generic/Bessell.U,836900000000000.0,3584.78,black,5.472e-06,bessellux,standard::u,U,Bessell/U,152177000000000.0
Generic/Bessell.B,686300000000000.0,4371.07,black,5.535e-06,bessellb,standard::b,B,Bessell/B,143098000000000.0
Generic/Bessell.V,547700000000000.0,5477.7,black,3.264e-06,bessellv,standard::v,V,Bessell/V,85870300000000.0
Generic/Bessell.R,461700000000000.0,6498.09,black,4.167e-06,bessellr,standard::r,R,Bessell/R,102780000000000.0
Generic/Bessell.I,374100000000000.0,8020.14,black,2.554e-06,besselli,standard::i,I,Bessell/I,67632200000000.0
2MASS/2MASS.J,242900000000000.0,12350.0,black,1.165e-06,2massj,,J,2MASS/J,31637500000000.0
2MASS/2MASS.H,180500000000000.0,16620.0,black,9.953e-07,2massh,,H,2MASS/H,27605900000000.0
2MASS/2MASS.K,139000000000000.0,21590.0,black,6.143e-07,2massks,,K|Ks,2MASS/K,16752000000000.0
PAN-STARRS/PS1.g,618700000000000.0,4849.11,black,4.937e-06,ps1::g,,,PS1/g,147767000000000.0
PAN-STARRS/PS1.r,483800000000000.0,6201.2,black,3.584e-06,ps1::r,,,PS1/r,102385000000000.0
PAN-STARRS/PS1.w,477300000000000.0,6285.91,black,7.368e-06,ps1::w,,,PS1/w,232589000000000.0
PAN-STARRS/PS1.open,432000000000000.0,6943.76,black,9.811e-06,ps1::open,,,PS1/open,270041000000000.0
PAN-STARRS/PS1.i,398100000000000.0,7534.96,black,2.33e-06,ps1::i,,,PS1/i,65493200000000.0
PAN-STARRS/PS1.z,345800000000000.0,8674.2,black,1.449e-06,ps1::z,,,PS1/z,38459200000000.0
PAN-STARRS/PS1.y,311600000000000.0,9627.79,black,7.517e-07,ps1::y,,y'|y|Y,PS1/y,19879700000000.0
APO/SDSS.u,843500000000000.0,3556.52,black,4.686e-06,sdssu,sdss::u,u'|u,SDSS/u,118036000000000.0
APO/SDSS.g,638000000000000.0,4702.5,black,5.313e-06,sdssg,sdss::g,g'|g,SDSS/g,156783000000000.0
APO/SDSS.r,485800000000000.0,6175.58,black,3.037e-06,sdssr,sdss::r,r'|r,SDSS/r,86856200000000.0
APO/SDSS.i,400500000000000.0,7489.98,black,2.153e-06,sdssi,sdss::i,i'|i,SDSS/i,58585500000000.0
APO/SDSS.z,335300000000000.0,8946.71,black,1.591e-06,sdssz,sdss::z,z'|z,SDSS/z,41064800000000.0
LSST/LSST.u,815200000000000.0,3680.04,black,3.822e-06,lsstu,,,Rubin/u,121706000000000.0
LSST/LSST.g,627300000000000.0,4782.26,black,6.074e-06,lsstg,,,Rubin/g,171581000000000.0
LSST/LSST.r,482500000000000.0,6217.82,black,3.433e-06,lsstr,,,Rubin/r,103635000000000.0
LSST/LSST.i,398300000000000.0,7532.28,black,2.269e-06,lssti,,,Rubin/i,63695200000000.0
